team,season,wp_cost,is_mistake,is_clear_mistake,n_plays,expected_wins_lost
CAR,2012,0.18497049374491784,16,3,107,0.18497049374491784
CAR,2013,0.12676187519169102,17,2,108,0.12676187519169102
CAR,2014,0.16851884241127899,18,4,109,0.16851884241127899
CAR,2015,0.14109542924086113,20,2,113,0.14109542924086113
CAR,2016,0.19082881862026074,23,3,128,0.19082881862026074
CAR,2017,0.3279692349679138,23,2,110,0.3279692349679138
CAR,2018,0.20553443380401337,17,4,98,0.20553443380401337
CAR,2019,0.14352795193573664,24,2,128,0.14352795193573664
CAR,2020,0.6315691495259074,30,6,104,0.6315691495259074
CAR,2021,0.35663726988564626,33,7,136,0.35663726988564626
CAR,2022,0.36117734173425414,31,5,132,0.36117734173425414
CAR,2023,0.48941358111061384,34,7,158,0.48941358111061384
CAR,2024,0.1288502876859909,21,2,127,0.1288502876859909
CHI,2006,0.1173291498532911,26,0,124,0.1173291498532911
CHI,2007,0.33424159810611287,19,4,145,0.33424159810611287
CHI,2008,0.3501500359453952,19,3,134,0.3501500359453952
CHI,2009,0.20218163836470124,24,4,120,0.20218163836470124
CHI,2010,0.1357923808404565,19,2,118,0.1357923808404565
CHI,2011,0.08629433823820079,14,2,127,0.08629433823820079
CHI,2012,0.11418726566853038,18,0,124,0.11418726566853038
CHI,2013,0.1386540004915484,19,0,103,0.1386540004915484
CHI,2014,0.26510416893996214,29,3,116,0.26510416893996214
CHI,2015,0.21241425006348819,24,2,119,0.21241425006348819
CHI,2016,0.3062448104438553,21,5,104,0.3062448104438553
CHI,2017,0.18517021772281003,22,2,124,0.18517021772281003
CHI,2018,0.2022858554787873,20,1,108,0.2022858554787873
CHI,2019,0.44242970349404065,33,7,128,0.44242970349404065
CHI,2020,0.4606636653433853,35,5,121,0.4606636653433853
CHI,2021,0.3186918737449419,31,6,125,0.3186918737449419
CHI,2022,0.5888393640515558,30,7,117,0.5888393640515558
CHI,2023,0.807520845472985,29,7,130,0.807520845472985
CHI,2024,0.46359925431061066,34,4,142,0.46359925431061066
CIN,2006,0.11057747034691717,15,1,115,0.11057747034691717
CIN,2007,0.2534281134919714,28,4,104,0.2534281134919714
CIN,2008,0.1601255070586039,23,1,124,0.1601255070586039
CIN,2009,0.35531573489377316,31,3,123,0.35531573489377316
CIN,2010,0.2583292728683516,22,5,120,0.2583292728683516
CIN,2011,0.7896144212935964,28,11,136,0.7896144212935964
CIN,2012,0.34234134791098625,28,5,124,0.34234134791098625
CIN,2013,0.23511095889437555,18,4,117,0.23511095889437555
CIN,2014,0.20450428071072857,24,1,113,0.20450428071072857
CIN,2015,0.11120211740816491,15,1,109,0.11120211740816491
CIN,2016,0.36599971380957685,20,2,112,0.36599971380957685
CIN,2017,0.1226417391585267,19,1,119,0.1226417391585267
CIN,2018,0.3375422057425274,22,6,111,0.3375422057425274
CIN,2019,0.2510612514548464,35,3,130,0.2510612514548464
CIN,2020,0.22449603434426885,24,2,120,0.22449603434426885
CIN,2021,0.1678468311296806,24,3,115,0.1678468311296806
CIN,2022,0.11687795588570242,16,2,98,0.11687795588570242
CIN,2023,0.21865739272853224,27,3,125,0.21865739272853224
CIN,2024,0.247172940386979,21,3,104,0.247172940386979
CLE,2006,0.2727533453449534,21,2,124,0.2727533453449534
CLE,2007,0.3045778594618578,25,1,109,0.3045778594618578
CLE,2008,0.18229248762218564,20,2,125,0.18229248762218564
CLE,2009,0.40472488550875324,37,5,133,0.40472488550875324
CLE,2010,0.4400885257758601,21,5,110,0.4400885257758601
CLE,2011,0.32261395784385716,29,4,134,0.32261395784385716
CLE,2012,0.18601480183359403,24,1,136,0.18601480183359403
CLE,2013,0.492009873844222,31,6,141,0.492009873844222
CLE,2014,0.19342655550847235,23,4,135,0.19342655550847235
CLE,2015,0.27407523310555487,37,2,120,0.27407523310555487
CLE,2016,0.21387231806182855,20,2,126,0.21387231806182855
CLE,2017,0.21405313916368585,25,2,122,0.21405313916368585
CLE,2018,0.3799293270712514,25,3,113,0.3799293270712514
CLE,2019,0.46690236964821336,22,7,110,0.46690236964821336
CLE,2020,0.34147913646561445,20,5,97,0.34147913646561445
CLE,2021,0.36933090399628055,24,5,117,0.36933090399628055
CLE,2022,0.3795558302792819,35,7,135,0.3795558302792819
CLE,2023,0.24619321552581835,31,1,157,0.24619321552581835
CLE,2024,0.7594931301856684,41,8,159,0.7594931301856684
DAL,2006,0.12020613723535692,18,1,96,0.12020613723535692
DAL,2007,0.1507571245004474,22,0,106,0.1507571245004474
DAL,2008,0.11161310589464604,18,1,109,0.11161310589464604
DAL,2009,0.08577018429514068,20,0,111,0.08577018429514068
DAL,2010,0.2774850467616283,27,4,115,0.2774850467616283
DAL,2011,0.3113445792572603,23,7,112,0.3113445792572603
DAL,2012,0.35456609879331324,22,3,107,0.35456609879331324
DAL,2013,0.19024999983387322,14,3,111,0.19024999983387322
DAL,2014,0.09517356300337984,16,1,89,0.09517356300337984
DAL,2015,0.39607666623447496,32,7,115,0.39607666623447496
DAL,2016,0.28238317020206105,22,4,98,0.28238317020206105
DAL,2017,0.2304783643354357,23,4,111,0.2304783643354357
DAL,2018,0.24358511190097726,21,4,116,0.24358511190097726
DAL,2019,0.23149162078794272,19,4,102,0.23149162078794272
DAL,2020,0.2376181668767891,27,2,119,0.2376181668767891
