season,game_id,play_id,field_pos,yards_to_go,score_diff,time_remaining,actual_decision,ex_ante_optimal,ex_post_optimal,ex_ante_match,ex_post_match,models_agree,ex_ante_confidence,ex_ante_margin,ex_post_margin,ex_ante_wp_go,ex_ante_wp_punt,ex_ante_wp_fg,train_start,train_end,posteam,defteam,week,season_type,home_team,away_team,game_date,qtr,desc,decision_clarity,confidence_category,coach_wrong,mistake_type,wp_cost
2024,2024_07_DET_MIN,3848.0,72,4,1,161,punt,go_for_it,go_for_it,False,False,True,1.0,0.1677306724077403,0.16922763769928595,0.6997299024327629,0.5319992300250226,0.0,1999,2023,MIN,DET,7.0,REG,MIN,DET,2024-10-20,4.0,"(2:41) 17-R.Wright punts 51 yards to DET 21, Center-42-A.DePaola. 11-K.Raymond to DET 30 for 9 yards (11-T.Sherfield).",clear,obvious,True,egregious,0.1677306724077403
2013,2013_15_NE_MIA,3586.0,55,5,-3,161,go_for_it,punt,punt,False,False,True,1.0,0.16629776453125497,0.15897437231600814,0.15045626847340218,0.31675403300465715,0.0,1999,2012,,,,,,,,,,clear,obvious,True,egregious,0.16629776453125497
2022,2022_05_LV_KC,3866.0,46,3,1,156,punt,go_for_it,go_for_it,False,False,True,1.0,0.1623699535901345,0.17382047455981198,0.775253360269372,0.6128834066792375,0.5993364448483788,1999,2021,KC,LV,5.0,REG,KC,LV,2022-10-10,4.0,"(2:36) 5-T.Townsend punts 39 yards to LV 7, Center-41-J.Winchester, fair catch by 84-K.Cole.",clear,obvious,True,egregious,0.1623699535901345
2010,2010_06_KC_HOU,3534.0,59,2,3,150,punt,go_for_it,go_for_it,False,False,True,1.0,0.16083923646373866,0.16867412157789907,0.8116743936876099,0.6508351572238712,0.0,1999,2009,,,,,,,,,,clear,obvious,True,egregious,0.16083923646373866
2016,2016_01_MIA_SEA,3779.0,53,4,-4,128,go_for_it,punt,punt,False,False,True,1.0,0.15922964609611306,0.15164177715037558,0.09486400233558175,0.2540936484316948,0.0,1999,2015,,,,,,,,,,clear,obvious,True,egregious,0.15922964609611306
2022,2022_09_LV_JAX,3638.0,61,2,-4,150,go_for_it,punt,punt,False,False,True,1.0,0.15819747553278968,0.1592833237998028,0.0674641624903553,0.22566163802314498,0.0,1999,2021,LV,JAX,9.0,REG,JAX,LV,2022-11-06,4.0,(2:30) (Shotgun) 4-D.Carr pass incomplete short middle to 13-H.Renfrow.,clear,obvious,True,egregious,0.15819747553278968
2020,2020_10_JAX_GB,3845.0,77,1,4,152,punt,go_for_it,go_for_it,False,False,True,1.0,0.157644835828196,0.16010235151088548,0.8381727205836426,0.6805278847554466,0.0,1999,2019,GB,JAX,10.0,REG,GB,JAX,2020-11-15,4.0,"(2:32) 6-J.Scott punts 30 yards to JAX 47, Center-43-H.Bradley, out of bounds.",clear,obvious,True,egregious,0.157644835828196
2024,2024_13_LV_KC,4620.0,44,2,2,123,punt,go_for_it,go_for_it,False,False,True,1.0,0.15679862802246047,0.16178441247648512,0.8281450446430231,0.6713464166205626,0.6635708871210081,1999,2023,KC,LV,13.0,REG,KC,LV,2024-11-29,4.0,"(2:03) 14-M.Araiza punts 36 yards to LV 8, Center-41-J.Winchester, fair catch by 8-A.Abdullah.",clear,obvious,True,egregious,0.15679862802246047
2022,2022_03_DET_MIN,3930.0,53,8,-3,156,go_for_it,punt,punt,False,False,True,1.0,0.15568034964117153,0.1503829554970723,0.15119615973657133,0.30687650937774286,0.0,1999,2021,MIN,DET,3.0,REG,MIN,DET,2022-09-25,4.0,(2:36) (Shotgun) 8-K.Cousins pass incomplete short right to 19-A.Thielen [53-C.Harris].,clear,obvious,True,egregious,0.15568034964117153
2010,2010_04_BAL_PIT,3553.0,2,2,-4,164,go_for_it,field_goal,field_goal,False,False,True,1.0,0.1554586056536315,0.15693510850360123,0.16846639685192916,0.2350906050970848,0.3905492107507163,1999,2009,,,,,,,,,,clear,obvious,True,egregious,0.1554586056536315
