season,service_time_class,surplus_value,salary,market_value,war,n_players
2016,free_agent,2.2648648442624376e-10,13565867.479374038,13565867.479374042,1.5555858310626702,367
2016,pre_arb,14115957.844826203,702442.0590685012,14818399.903894704,1.699212598425197,127
2017,arb,7440738.893455608,6673036.935474819,14113775.828930426,1.5817777777777777,225
2017,free_agent,-1.2214066552334144e-09,14161786.291667083,14161786.291667081,1.5871584699453551,366
2017,pre_arb,12776535.883573228,693481.5086531491,13470017.392226378,1.5096296296296297,135
2018,arb,7025477.400881762,6876439.029529365,13901916.430411126,1.5827309236947793,249
2018,free_agent,-8.741677654497999e-10,12648693.347288277,12648693.347288277,1.4400516795865632,387
2018,pre_arb,11861095.553182771,705533.397781346,12566628.950964117,1.4307086614173228,127
2019,arb,8600779.98114951,7129832.617709721,15730612.59885923,1.6008583690987124,233
2019,free_agent,-2.2470414473409466e-09,16195803.12093195,16195803.120931948,1.6481994459833795,361
2019,pre_arb,14382589.774254782,707349.4345347343,15089939.208789516,1.535658914728682,129
2020,arb,3471828.1718733613,3968338.0424600355,7440166.214333396,0.8857142857142857,182
2020,free_agent,6.1405884040581e-11,6769381.998152801,6769381.998152801,0.8058608058608059,273
2020,pre_arb,6571324.109193095,701167.1263815732,7272491.235574667,0.8657534246575342,73
2021,arb,7545722.560808049,6793696.504553806,14339419.065361856,1.4388185654008439,237
2021,free_agent,-2.628592687232472e-09,15165713.007598817,15165713.007598815,1.5217289719626168,428
2021,pre_arb,13771714.089107899,698681.7296627732,14470395.818770671,1.4519607843137254,102
2022,arb,8274097.806777646,7097011.587077339,15371109.393854983,1.4857142857142858,245
2022,free_agent,-1.231259794761065e-09,16291612.739809526,16291612.739809526,1.5746867167919798,399
2022,pre_arb,13226683.452764478,699133.575517859,13925817.028282337,1.346017699115044,113
2023,arb,8504405.96814688,7491339.253712384,15995745.221859263,1.5187772925764194,229
2023,free_agent,-2.167426929291752e-09,14798419.250860592,14798419.250860589,1.4050925925925926,432
2023,pre_arb,14973424.06861658,700653.1718336476,15674077.240450228,1.488235294117647,119
2024,arb,8022211.431120321,7387940.401748963,15410151.832869282,1.4461538461538461,247
2024,free_agent,-9.935977588216942e-10,15293222.713604242,15293222.71360424,1.4351807228915663,415
2024,pre_arb,17145530.977686018,693328.7878655804,17838859.765551597,1.6740740740740743,108
